City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
209,Srednekolymsk,RU,2/7/2022 5:05,67.45,153.6833,-30.78,99,26,0.89,scattered clouds
210,Cherskiy,RU,2/7/2022 5:05,68.75,161.3,-30.44,100,38,1.77,scattered clouds
211,Tarata,BO,2/7/2022 5:05,-17.6167,-66.0167,53.02,82,100,3.56,overcast clouds
212,Limbang,MY,2/7/2022 5:05,4.75,115,87.91,50,100,2.82,overcast clouds
213,San Miguel,SV,2/7/2022 5:05,13.4833,-88.1833,73.74,74,78,2.04,light rain
214,Chilca,PE,2/7/2022 5:05,-12.5211,-76.7372,69.6,84,100,6.53,overcast clouds
215,San Vicente,AR,2/7/2022 5:05,-26.6167,-54.1333,56.46,67,0,2.57,clear sky
216,Termiz,UZ,2/7/2022 5:05,37.2242,67.2783,42.89,75,75,6.91,broken clouds
217,Cockburn Town,TC,2/7/2022 5:05,21.4612,-71.1419,75.99,76,0,14.58,clear sky
218,Svetlogorsk,BY,2/7/2022 5:05,52.6333,29.7333,31.73,98,100,15.12,light snow
219,Clarksville,US,2/7/2022 5:02,36.5298,-87.3595,33.08,87,0,0,clear sky
220,Beloha,MG,2/7/2022 5:05,-25.1667,45.05,74.73,91,100,12.46,moderate rain
221,Joshimath,IN,2/7/2022 5:05,30.5667,79.5667,51.39,50,19,5.41,few clouds
222,Necochea,AR,2/7/2022 5:05,-38.5473,-58.7368,57.04,79,41,9.26,scattered clouds
223,Newnan,US,2/7/2022 5:02,33.3807,-84.7997,44.58,64,100,1.99,overcast clouds
224,Salalah,OM,2/7/2022 5:05,17.0151,54.0924,71.46,28,67,17.43,broken clouds
225,Lorengau,PG,2/7/2022 5:00,-2.0226,147.2712,84.38,72,98,7.45,overcast clouds
226,Mutare,ZW,2/7/2022 5:05,-18.9707,32.6709,62.8,96,95,3.85,overcast clouds
227,Kabare,CD,2/7/2022 5:05,-2.4683,28.8242,62.22,89,100,1.79,overcast clouds
228,Flinders,AU,2/7/2022 5:05,-34.5833,150.8552,75.18,62,45,11.01,scattered clouds
229,Kieta,PG,2/7/2022 5:05,-6.2167,155.6333,85.6,73,100,10.94,light rain
230,Shetpe,KZ,2/7/2022 5:05,44.1667,52.1167,31.35,96,98,5.77,overcast clouds
231,Port Blair,IN,2/7/2022 5:05,11.6667,92.75,82.44,78,40,12.66,scattered clouds
232,Vila,PT,2/7/2022 5:05,42.0304,-8.1588,38.32,84,36,5.23,scattered clouds
233,Ewa Beach,US,2/7/2022 5:05,21.3156,-158.0072,75.15,67,0,5.75,clear sky
234,Bousso,TD,2/7/2022 5:05,10.4795,16.7117,66.54,23,4,6.22,clear sky
235,Bandiagara,ML,2/7/2022 5:05,14.3501,-3.6104,65.35,14,0,10.83,clear sky
236,Muskogee,US,2/7/2022 5:04,35.5834,-95.3336,35.82,69,0,5.75,clear sky
237,Baijiantan,CN,2/7/2022 5:02,45.6333,85.1833,9.81,83,5,6.93,clear sky
238,Kichera,RU,2/7/2022 5:05,55.9375,110.0997,13.62,93,100,4.56,light snow
239,Saint-Augustin,CA,2/7/2022 5:05,51.226,-58.6502,-26.09,92,23,4.27,few clouds
240,Nome,US,2/7/2022 5:05,64.5011,-165.4064,-9.33,59,0,16.11,clear sky
241,Ixtapa,MX,2/7/2022 5:00,20.7,-105.2,70.83,88,0,0,clear sky
242,Henties Bay,NA,2/7/2022 5:02,-22.116,14.2845,68.86,82,95,7.94,overcast clouds
243,Katsuura,JP,2/7/2022 5:05,35.1333,140.3,46.51,32,27,2.35,scattered clouds
244,Kavieng,PG,2/7/2022 5:05,-2.5744,150.7967,83.89,69,72,2.04,broken clouds
